昇仙,升仙
陞任,升任
昇華,升华
昇天,升天
陞官,升官
昇平,升平
昇汞,升汞
陞用,升用
陞補,升补
陞遷,升迁
昇降,升降
卓著,卓著
博和託,博和讬
歷陞,历升
釐改,厘改
釐整,厘整
釐正,厘正
釐毫,厘毫
釐清,厘清
釐米,厘米
釐訂,厘订
釐革,厘革
原著,原著
又陞,又升
反反覆覆,反反复复
反覆,反复
可穿著,可穿著
吃衣著飯,吃衣著饭
合著,合著
同陞和,同升和
名著,名著
吳克羣,吴克羣
吴克羣,吴克羣
周易乾,周易乾
諠譁,喧哗
回覆,回复
土著,土著
坤乾,坤乾
墨瀋,墨渖
覆審,复审
覆查,复查
覆核,复核
覆檢,复检
復甦,复苏
大麴,大曲
天道为乾,天道为乾
天道為乾,天道为乾
奧區,奧区
如瀋,如渖
姓么,姓幺
子餘,子馀
字乾生,字乾生
孙乾,孙乾
孫乾,孙乾
宏碁,宏碁
官陞,官升
將軍抽俥,将军抽俥
將軍抽車,将军抽車
爾冬陞,尔冬升
尼乾陀,尼乾陀
侷促,局促
跼促,局促
侷限,局限
跼限,局限
山崎闇斋,山崎闇斋
山崎闇齋,山崎闇斋
岳託,岳讬
峯會,峰会
巔峯,巅峰
巨著,巨著
乾乾淨淨,干干净净
乾乾脆脆,干干脆脆
乾泉水,干泉水
年陞,年升
么九,幺九
么二三,幺二三
么兒,幺儿
么元,幺元
么鳳,幺凤
么半,幺半
么叔,幺叔
么喝,幺喝
么女,幺女
么媽,幺妈
么妹,幺妹
么姓,幺姓
么姨,幺姨
么娘,幺娘
么孃,幺娘
么子,幺子
么小,幺小
么弟,幺弟
么正,幺正
么氏,幺氏
么爺,幺爷
么爸,幺爸
么爹,幺爹
么篇,幺篇
么舅,幺舅
么蛾子,幺蛾子
么雞,幺鸡
么麼,幺麽
幺麽,幺麽
慶餘,庆馀
康乾,康乾
张法乾,张法乾
張法乾,张法乾
彰明較著,彰明较著
待覆,待复
後姓,後姓
慫慂,怂恿
恩威並著,恩威并著
噁心,恶心
情蒐,情搜
情鍾,情钟
惏悷,惏悷
惏慄,惏慄
慘澹,惨淡
成效顯著,成效显著
成績顯著,成绩显著
所鍾,所钟
手鍊,手链
扞格,扞格
執著,执著
批覆,批复
承乾,承乾
拉鍊,拉链
拙著,拙著
拚却,拚却
拚卻,拚却
拚弃,拚弃
拚棄,拚弃
拚生尽死,拚生尽死
拚生盡死,拚生尽死
拾瀋,拾渖
挨剋,挨剋
提昇,提升
蒐錄,搜录
蒐索,搜索
蒐羅,搜罗
蒐藏,搜藏
蒐證,搜证
蒐購,搜购
蒐輯,搜辑
蒐採,搜采
蒐采,搜采
蒐集,搜集
搥打,搥打
搥胸頓足,搥胸顿足
撰著,撰著
效果顯著,效果显著
文徵明,文徵明
觔斗,斤斗
新著,新著
於世成,於世成
於之瑩,於之莹
於之莹,於之莹
於乎,於乎
於乙于同,於乙于同
於乙宇同,於乙宇同
於于同,於于同
於哲,於哲
於夫罗,於夫罗
於夫羅,於夫罗
於姓,於姓
於宇同,於宇同
於崇文,於崇文
於志賀,於志贺
於志贺,於志贺
於戏,於戏
於戲,於戏
於梨华,於梨华
於梨華,於梨华
於氏,於氏
於潜,於潜
於潛縣,於潜县
於潜县,於潜县
於祥玉,於祥玉
於菟,於菟
於賢德,於贤德
於除鞬,於除鞬
施讎,施雠
旋乾轉坤,旋乾转坤
旋乾转坤,旋乾转坤
無言不讎,无言不雠
曠若發矇,旷若发矇
易·乾,易·乾
易經·乾,易经·乾
易经·乾,易经·乾
易經乾,易经乾
易经乾,易经乾
昭著,昭著
顯著,显著
顯著地,显著地
顯著地位,显著地位
顯著性,显著性
顯著成績,显著成绩
顯著效果,显著效果
顯著特點,显著特点
晉陞,晋升
暗闇,暗闇
麴黴,曲霉
曾运乾,曾运乾
曾運乾,曾运乾
月陞,月升
朝乾夕惕,朝乾夕惕
朱有燉,朱有燉
朱淛,朱淛
朴於宇同,朴於宇同
李乾德,李乾德
李乾順,李乾顺
李乾顺,李乾顺
李澤鉅,李泽钜
李祕,李祕
李譔,李譔
柳詒徵,柳诒徵
柳诒徵,柳诒徵
校讎,校雠
楈枒,楈枒
樊於期,樊於期
殘瀋,残渖
慇勤,殷勤
慇懃,殷勤
比較顯著,比较显著
毫釐,毫厘
氆氌,氆氌
沈沒,沉没
沈澱,沉淀
沈積,沉积
沈船,沉船
沈重,沉重
沈默,沉默
氾濫,泛滥
洗鍊,洗练
瀋液,渖液
满拚自尽,满拚自尽
滿拚自盡,满拚自尽
薰習,熏习
薰心,熏心
薰沐,熏沐
薰陶,熏陶
薰香,熏香
爨翫,爨翫
獨鍾,独钟
王道乾,王道乾
王餘魚,王馀鱼
甚夥,甚夥
男为乾,男为乾
男為乾,男为乾
男性为乾,男性为乾
男性為乾,男性为乾
療效顯著,疗效显著
白瀋,白渖
皁保,皁保
目劄,目劄
直昇,直升
盼覆,盼复
睹微知著,睹微知著
瞭台,瞭台
瞭臺,瞭台
瞭望,瞭望
矇眬,矇眬
矇矓,矇眬
石碁,石碁
石碁鎮,石碁镇
硃山湖,硃山湖
碩託,硕讬
鹼菜,硷菜
碁圣,碁圣
碁聖,碁圣
碁所,碁所
祕宜,祕宜
穀旦,穀旦
穀梁,穀梁
穀水,穀水
穀阳,穀阳
穀陽,穀阳
穿著者,穿着者
竹昇,竹升
答覆,答复
米泽瑠美,米泽瑠美
米瀋,米渖
餬口,糊口
絪縕,絪缊
繙㠾,繙㠾
遶境,绕境
線國安,缐国安
線姓,缐姓
編著,编著
老么,老幺
肉乾乾,肉干干
肘手鍊足,肘手链足
甦醒,苏醒
苧烯,苧烯
薴烯,苧烯
蘋婆,苹婆
蘋果,苹果
荠苧,荠苧
榮陞,荣升
萧乾,萧乾
蕭乾,萧乾
著書,著书
著書立說,著书立说
著作,著作
著名,著名
著錄,著录
著錄規則,著录规则
著文,著文
著有,著有
著稱,著称
著者,著者
著身,著身
著述,著述
蔡孝乾,蔡孝乾
蔡絛,蔡絛
行餘,行馀
覆蓋,覆盖
見微知著,见微知著
見著,见著
視微知著,视微知著
言幾析理,言幾析理
諲譔,諲譔
譩譆,譩譆
託庸,讬庸
託恩多,讬恩多
託麻,讬麻
論著,论著
譯著,译著
謝肇淛,谢肇淛
谢肇淛,谢肇淛
象乾,象乾
躊躇滿志,踌躇滿志
較著,较著
近角聪信,近角聪信
造麴,造曲
遺著,遗著
鄭蘋如,郑苹如
郭子乾,郭子乾
酒麴,酒曲
醉瀋,醉渖
醯壶,醯壶
醯壺,醯壶
醯酱,醯酱
醯醬,醯酱
醯醋,醯醋
醯醢,醯醢
醯雞,醯鸡
醯鸡,醯鸡
重覆,重复
金鍊,金链
鍾情,钟情
鍾意,钟意
鍾靈,钟灵
鍾愛,钟爱
鍾祥,钟祥
鐵鍊,铁链
鉸鍊,铰链
銀鍊,银链
鍊子,链子
鍊條,链条
鍊狀,链状
鍊表,链表
鍊鎖,链锁
鍊錘,链锤
鎖鍊,锁链
闇公,闇公
閻懷禮,闫怀礼
阳为乾,阳为乾
陽為乾,阳为乾
阿部正瞭,阿部正瞭
陆徵祥,陆徵祥
陸徵祥,陆徵祥
陈乾生,陈乾生
陳乾生,陈乾生
陈元扞,陈元扞
陳元扞,陈元扞
陈公乾生,陈公乾生
陳公乾生,陈公乾生
陈遇乾,陈遇乾
陳遇乾,陈遇乾
陳堵,陳堵
陳禕,陳禕
雍乾,雍乾
讎夷,雠夷
讎定,雠定
讎校,雠校
讎正,雠正
讎問,雠问
雪鍊,雪链
頂峯,顶峰
項鍊,项链
飛昇,飞升
飭令,飭令
飽託,饱讬
餘慶,馀庆
餘瀋,馀渖
馬鞌,马鞍
高昇,高升
高陞,高升
鬱姓,鬱姓
鬱氏,鬱氏
魏徵,魏徵
魚乾乾,鱼干干
麼氏,麽氏
麽氏,麽氏
黃麴毒素,黄曲毒素
黃潤乾,黄润乾
黄润乾,黄润乾
龍鍾,龙钟
，陞,，升
