殰,㱩
殲,歼
殺,杀
殻,壳
殼,壳
毀,毁
毆,殴
毧,绒
毬,球
毿,毵
氂,牦
氈,毡
氊,毡
氌,氇
氣,气
氫,氢
氬,氩
氳,氲
氷,冰
汙,污
汚,污
決,决
沒,没
沖,冲
況,况
泝,溯
洩,泄
洶,汹
浹,浃
浿,𬇙
涇,泾
涖,莅
涼,凉
淒,凄
淚,泪
淛,浙
淥,渌
淨,净
淩,凌
淪,沦
淵,渊
淶,涞
淺,浅
渙,涣
減,减
渢,沨
渦,涡
測,测
渾,浑
湊,凑
湋,𣲗
湞,浈
湧,涌
湯,汤
湼,涅
溈,沩
準,准
溝,沟
溫,温
溮,浉
溳,涢
溼,湿
滄,沧
滅,灭
滌,涤
滎,荥
滙,汇
滛,淫
滬,沪
滯,滞
滲,渗
滷,卤
滸,浒
滻,浐
滾,滚
滿,满
漁,渔
漊,溇
漍,𬇹
漚,沤
漢,汉
漣,涟
漬,渍
漲,涨
漵,溆
漸,渐
漿,浆
潁,颍
潄,漱
潑,泼
潔,洁
潕,𣲘
潙,沩
潛,潜
潤,润
潯,浔
潰,溃
潷,滗
潿,涠
澀,涩
澁,涩
澅,𣶩
澆,浇
澇,涝
澐,沄
澗,涧
澠,渑
澤,泽
澦,滪
澩,泶
澫,𬇕
澮,浍
澱,淀
澾,㳠
濁,浊
濃,浓
濄,㳡
濆,𣸣
濇,涩
濕,湿
濘,泞
濜,浕
濟,济
濤,涛
濧,㳔
濫,滥
濰,潍
濱,滨
濶,阔
濺,溅
濼,泺
濾,滤
瀂,澛
瀃,𣽷
瀅,滢
瀆,渎
瀇,㲿
瀉,泻
瀋,沈
瀏,浏
瀕,濒
瀘,泸
瀝,沥
瀟,潇
瀠,潆
瀦,潴
瀧,泷
瀨,濑
瀰,弥
瀲,潋
瀾,澜
灃,沣
灄,滠
灋,法
灑,洒
灕,漓
灘,滩
灙,𣺼
灝,灏
灠,漤
灣,湾
灤,滦
灧,滟
灩,滟
災,灾
為,为
烏,乌
烖,灾
烴,烃
無,无
煉,炼
煑,煮
煒,炜
煗,暖
煙,烟
煢,茕
煥,焕
煩,烦
煬,炀
煱,㶽
熅,煴
熈,熙
熉,𤈶
熌,𤇄
熒,荧
熓,𤆡
熗,炝
熡,𤋏
熰,𬉼
熱,热
熲,颎
熾,炽
燀,𬊤
燁,烨
燄,焰
燈,灯
燉,炖
燒,烧
燖,𬊈
燙,烫
燜,焖
營,营
燦,灿
燬,毁
燭,烛
燴,烩
燶,㶶
燻,熏
燼,烬
燾,焘
爄,𤇃
爍,烁
爐,炉
爗,烨
爛,烂
爭,争
爲,为
爺,爷
爾,尔
牀,床
牆,墙
牋,笺
牎,窗
牐,闸
牓,榜
牕,窗
牘,牍
牠,它
牴,抵
牽,牵
犖,荦
犢,犊
犧,牺
狀,状
狥,徇
狹,狭
狽,狈
猂,悍
猙,狰
猨,猿
猶,犹
猻,狲
獁,犸
獃,呆
獄,狱
獅,狮
獎,奖
獘,毙
獧,狷
獨,独
獪,狯
獫,猃
獮,狝
獰,狞
獱,㺍
獲,获
獵,猎
獷,犷
獸,兽
獺,獭
獻,献
獼,猕
玀,猡
玁,𤞤
玅,妙
現,现
琖,盏
琱,雕
琺,珐
琿,珲
瑇,玳
瑋,玮
瑒,玚
瑣,琐
瑤,瑶
瑩,莹
瑪,玛
瑯,琅
瑲,玱
瑽,𪻐
璉,琏
璊,𫞩
璕,𬍤
璗,𬍡
璡,琎
璢,瑠
璣,玑
璦,瑷
璫,珰
璯,㻅
環,环
璵,玙
璸,瑸
璽,玺
瓅,𬍛
瓊,琼
瓏,珑
瓔,璎
瓕,𤦀
瓚,瓒
瓛,𤩽
甌,瓯
甎,砖
甕,瓮
甖,罂
甞,尝
產,产
産,产
畂,亩
畆,亩
畝,亩
畢,毕
畧,略
畫,画
畮,亩
異,异
畱,留
畵,画
當,当
疇,畴
疊,叠
疎,疏
疘,肛
疿,痱
痐,蛔
痙,痉
痠,酸
痲,痳
痺,痹
瘂,痖
瘉,愈
瘋,疯
瘍,疡
瘓,痪
瘖,喑
瘞,瘗
瘡,疮
瘧,疟
瘮,瘆
瘲,疭
瘺,瘘
